cpus,batch_size,total_batches,no_params,epoch_no,duration
8,128,391,29787522,3,10.509037017822266
8,128,391,29787522,3,11.106353044509888
8,128,391,29787522,3,11.002750158309937
8,128,391,29787522,3,11.19407606124878
8,128,391,29787522,3,10.887591123580933
8,128,391,29787522,3,10.801915168762207
8,128,391,29787522,3,11.105742454528809
8,128,391,29787522,3,11.201876401901245
8,128,391,29787522,3,10.784242630004883
8,128,391,29787522,3,10.888559818267822
8,128,391,29787522,4,11.305821418762207
8,128,391,29787522,4,10.690535545349121
8,128,391,29787522,4,10.70667290687561
8,128,391,29787522,4,10.794038534164429
8,128,391,29787522,4,11.096086263656616
8,128,391,29787522,4,11.002691745758057
8,128,391,29787522,4,10.69098424911499
8,128,391,29787522,4,10.706359386444092
8,128,391,29787522,4,10.796689987182617
8,128,391,29787522,4,10.98973822593689
8,128,391,29787522,4,11.18956995010376
4,32,1563,57044810,0,30.901906967163086
4,32,1563,57044810,0,30.80033254623413
4,32,1563,57044810,0,26.99784517288208
4,32,1563,57044810,0,28.498373985290527
4,32,1563,57044810,0,24.698747396469116
4,32,1563,57044810,0,26.199222564697266
4,32,1563,57044810,0,25.69805669784546
4,32,1563,57044810,0,24.800640106201172
4,32,1563,57044810,0,23.89792561531067
4,32,1563,57044810,0,21.599091053009033
4,32,1563,57044810,0,26.400076389312744
4,32,1563,57044810,1,22.098909854888916
4,32,1563,57044810,1,23.291260242462158
4,32,1563,57044810,1,23.89965009689331
4,32,1563,57044810,1,25.0968337059021
4,32,1563,57044810,1,24.298286199569702
4,32,1563,57044810,1,22.101195335388184
4,32,1563,57044810,1,23.5995671749115
4,32,1563,57044810,1,23.60015320777893
4,32,1563,57044810,1,24.901599407196045
4,32,1563,57044810,1,24.90160632133484
4,32,1563,57044810,1,25.101198434829712
4,32,1563,57044810,2,23.799394607543945
4,32,1563,57044810,2,22.60094451904297
4,32,1563,57044810,2,23.800976037979126
4,32,1563,57044810,2,26.402395725250244
4,32,1563,57044810,2,23.688498497009277
4,32,1563,57044810,2,23.70102310180664
4,32,1563,57044810,2,23.29824733734131
4,32,1563,57044810,2,22.801634788513184
4,32,1563,57044810,2,24.39925479888916
4,32,1563,57044810,2,25.20110011100769
4,32,1563,57044810,2,27.498488426208496
4,32,1563,57044810,3,24.401194095611572
4,32,1563,57044810,3,23.601229190826416
4,32,1563,57044810,3,26.70196008682251
4,32,1563,57044810,3,25.4994215965271
4,32,1563,57044810,3,25.999594926834106
4,32,1563,57044810,3,28.499268531799316
4,32,1563,57044810,3,22.2017822265625
4,32,1563,57044810,3,23.699223041534424
4,32,1563,57044810,3,24.501455068588257
4,32,1563,57044810,3,21.1003634929657
4,32,1563,57044810,3,21.30154585838318
4,32,1563,57044810,4,22.800623655319214
4,32,1563,57044810,4,23.298874616622925
4,32,1563,57044810,4,26.39947199821472
4,32,1563,57044810,4,22.997793436050415
4,32,1563,57044810,4,20.70011019706726
4,32,1563,57044810,4,22.701038122177124
4,32,1563,57044810,4,21.59994649887085
4,32,1563,57044810,4,23.499687910079956
4,32,1563,57044810,4,21.80181384086609
4,32,1563,57044810,4,25.99966788291931
4,32,1563,57044810,4,22.899867296218872
4,32,1563,41206970,0,28.104329347610474
4,32,1563,41206970,0,24.602022886276245
4,32,1563,41206970,0,22.80639386177063
4,32,1563,41206970,0,22.900207996368408
4,32,1563,41206970,0,24.898751497268677
4,32,1563,41206970,0,23.209659814834595
4,32,1563,41206970,0,24.298327207565308
4,32,1563,41206970,0,23.59878969192505
4,32,1563,41206970,0,25.39805030822754
4,32,1563,41206970,0,23.702861309051514
4,32,1563,41206970,0,25.00956654548645
4,32,1563,41206970,1,26.29845404624939
4,32,1563,41206970,1,23.000962257385254
4,32,1563,41206970,1,23.4998459815979
4,32,1563,41206970,1,24.508796215057373
4,32,1563,41206970,1,24.609339475631714
4,32,1563,41206970,1,26.198211669921875
4,32,1563,41206970,1,24.500062465667725
4,32,1563,41206970,1,22.597517013549805
4,32,1563,41206970,1,24.100091457366943
4,32,1563,41206970,1,25.50216031074524
4,32,1563,41206970,1,25.302565574645996
4,32,1563,41206970,2,25.007908582687378
4,32,1563,41206970,2,24.205093383789062
4,32,1563,41206970,2,25.906774282455444
4,32,1563,41206970,2,22.998074769973755
4,32,1563,41206970,2,23.205960988998413
4,32,1563,41206970,2,25.30839991569519
4,32,1563,41206970,2,24.199068546295166
4,32,1563,41206970,2,24.29885482788086
4,32,1563,41206970,2,24.609375953674316
4,32,1563,41206970,2,22.60281014442444
4,32,1563,41206970,2,23.200507879257202
4,32,1563,41206970,3,24.09889817237854
4,32,1563,41206970,3,24.597481727600098
4,32,1563,41206970,3,24.209736585617065
4,32,1563,41206970,3,25.601736068725586
4,32,1563,41206970,3,23.90398383140564
4,32,1563,41206970,3,23.894080638885498
4,32,1563,41206970,3,23.510063886642456
4,32,1563,41206970,3,22.09889268875122
4,32,1563,41206970,3,25.901267766952515
4,32,1563,41206970,3,23.19378352165222
4,32,1563,41206970,3,24.197287797927856
4,32,1563,41206970,4,25.101755619049072
4,32,1563,41206970,4,24.898455142974854
4,32,1563,41206970,4,23.399296522140503
4,32,1563,41206970,4,24.701292514801025
4,32,1563,41206970,4,22.999398469924927
4,32,1563,41206970,4,24.300381898880005
